sub-0002	0.04	1.65	0.005	6000.0	200	14086414	2	0.00033954712247816833	38.01785469055176	1
sub-0002	0.02	1.65	0.005	6000.0	200	14086422	1	0.00014238932033575308	40.344924449920654	1
sub-0002	0.04	1.75	0.005	6000.0	200	14086414	2	0.00038757713438924215	37.59157085418701	1
sub-0002	0.02	1.75	0.005	6000.0	200	14086422	1	0.0002311717297526759	38.27080750465393	1
sub-0002	0.04	1.85	0.005	6000.0	200	14086414	2	0.0007975898393617236	37.20638680458069	1
sub-0002	0.02	1.85	0.005	6000.0	200	14086422	1	0.00028444629197830345	37.8967969417572	1
sub-0002	0.04	1.95	0.005	6000.0	200	14086414	2	0.0007140420613905763	38.05525326728821	1
sub-0002	0.02	1.95	0.005	6000.0	200	14086422	1	0.0003316414108817052	39.06678628921509	1
sub-0002	0.04	2.05	0.005	6000.0	200	14086414	2	0.0032125085854920695	38.22327136993408	1
sub-0002	0.02	2.05	0.005	6000.0	200	14086422	1	0.00029188375929561623	40.16415596008301	1
sub-0002	0.05	1.65	0.005	6000.0	200	14086414	2	0.00040946540078688125	38.24078369140625	1
sub-0002	0.03	1.65	0.005	6000.0	200	14086422	1	0.0003579151717153247	40.18388319015503	1
sub-0002	0.05	1.75	0.005	6000.0	200	14086414	2	0.00039314351351970494	38.23089575767517	1
sub-0002	0.03	1.75	0.005	6000.0	200	14086422	1	0.0005411352777656769	39.76068305969238	1
sub-0002	0.05	1.85	0.005	6000.0	200	14086414	2	0.0008295318128255539	38.822497844696045	1
sub-0002	0.03	1.85	0.005	6000.0	200	14086422	1	0.0006573118684537427	40.51484203338623	1
sub-0002	0.05	1.95	0.005	6000.0	200	14086414	2	0.0005733291816839868	38.703826665878296	1
sub-0002	0.03	1.95	0.005	6000.0	200	14086422	1	0.0017813717489378654	40.40608334541321	1
sub-0002	0.05	2.05	0.005	6000.0	200	14086414	2	0.0013106000169272592	38.64989686012268	1
sub-0002	0.03	2.05	0.005	6000.0	200	14086422	1	0.00216094343981478	41.03154516220093	1
