17Networks_LH_VisCent_ExStr_1	19.01807723911257	-48.88628938752505	-48.8802205141392
17Networks_LH_VisCent_ExStr_2	19.57820136852395	-66.94918507238519	-47.406180962789094
17Networks_LH_VisCent_Striate_1	-3.120496894409939	-67.15678619775711	-42.014429971920045
17Networks_LH_VisCent_ExStr_3	23.880940892641732	-66.6416322939071	-21.95911782918132
17Networks_LH_VisPeri_ExStrInf_1	11.501359434475262	-34.536441078064165	-34.62916278761324
17Networks_LH_VisPeri_StriCal_1	10.38855160450997	-41.01670535589857	-24.684964069054633
17Networks_LH_VisPeri_ExStrSup_1	2.8620621019108228	-66.37063684309744	-10.335594100367487
17Networks_LH_SomMotA_1	37.577415011780545	-21.051839418340634	27.677226257099527
17Networks_LH_SomMotA_2	11.263788675553386	-27.981173358279044	32.96931986676404
17Networks_LH_SomMotB_Aud_1	48.98868209255534	-5.4089550119290655	-15.046787858968774
17Networks_LH_SomMotB_S2_1	33.8801652892562	-7.28305958765598	-6.212812879853997
17Networks_LH_SomMotB_S2_2	49.119121508713306	-1.8445934214037563	-7.681311850844882
17Networks_LH_SomMotB_Cent_1	50.72227258990631	-3.6533704690970676	8.510127962446175
17Networks_LH_DorsAttnA_TempOcc_1	39.68814623338258	-31.228681743871334	-43.68604372624457
17Networks_LH_DorsAttnA_ParOcc_1	41.07239442479718	-47.78948507810893	-26.037041747646914
17Networks_LH_DorsAttnA_SPL_1	23.706619782907808	-55.578823830443156	8.95520989622587
17Networks_LH_DorsAttnB_PostC_1	52.161656267725476	-19.420310926248042	6.5527541172213635
17Networks_LH_DorsAttnB_PostC_2	40.18613138686132	-27.83733718959582	17.852980358632944
17Networks_LH_DorsAttnB_PostC_3	21.924689165186507	-44.58651151834965	28.559161042574235
17Networks_LH_DorsAttnB_FEF_1	31.47087543999092	-2.947883069129463	34.10947465003247
17Networks_LH_SalVentAttnA_ParOper_1	54.0674690007294	-24.533922698356907	-5.264772751138296
17Networks_LH_SalVentAttnA_Ins_1	39.50919037199125	17.187969086989273	-18.77462602026875
17Networks_LH_SalVentAttnA_Ins_2	38.32116316639741	22.983850390922647	-4.960260846657206
17Networks_LH_SalVentAttnA_ParMed_1	11.482495667244365	-28.74420096060226	16.040215620837554
17Networks_LH_SalVentAttnA_FrMed_1	10.42381956839202	-1.3105633499443194	40.79768292942198
17Networks_LH_SalVentAttnB_PFCl_1	33.512055578259094	44.33961008098792	24.065533883726534
17Networks_LH_SalVentAttnB_PFCmp_1	8.465999660844503	25.73376906571075	24.29812927320486
17Networks_LH_LimbicB_OFC_1	14.22933884297521	49.34662727085636	-16.981806602078326
17Networks_LH_LimbicA_TempPole_1	27.860239949484324	27.379645901981544	-39.47704120536423
17Networks_LH_LimbicA_TempPole_2	48.577823691460054	-8.805098518031365	-41.162003098637605
17Networks_LH_ContA_IPS_1	35.009213444804644	-43.4255350079477	9.938752393148155
17Networks_LH_ContA_PFCl_1	43.46757281553397	35.1321766609513	12.871721348068089
17Networks_LH_ContA_PFCl_2	48.385035324341686	11.514774742766534	10.13423733077298
17Networks_LH_ContB_PFClv_1	27.611687857226173	71.07805263978048	5.703140477545689
17Networks_LH_ContC_pCun_1	6.342136498516325	-60.2860677857781	2.4827905013936276
17Networks_LH_ContC_pCun_2	7.372549019607845	-52.71079688095578	21.060365434516868
17Networks_LH_ContC_Cingp_1	3.4507645259938897	-20.12722192408477	10.429974392357218
17Networks_LH_DefaultA_PFCd_1	26.09885308574549	22.595308500193042	38.273912297383745
17Networks_LH_DefaultA_pCunPCC_1	2.7741856478079825	-42.27505293979734	1.3122710151588215
17Networks_LH_DefaultA_PFCm_1	9.19151606425703	60.818287592575736	6.105173593903167
17Networks_LH_DefaultB_Temp_1	50.49170844581565	16.872641893942017	-32.455376062115505
17Networks_LH_DefaultB_Temp_2	49.4561957379637	-13.467511761285733	-25.990541201458264
17Networks_LH_DefaultB_IPL_1	42.94559409307297	-47.600127932838426	-3.8232797789733466
17Networks_LH_DefaultB_PFCd_1	14.43803216650899	47.238343019039625	34.92740549100608
17Networks_LH_DefaultB_PFCl_1	40.69216662300235	15.631127646058706	31.618563675274558
17Networks_LH_DefaultB_PFCv_1	35.72077590607452	38.29250530115862	-15.377495847106157
17Networks_LH_DefaultB_PFCv_2	46.549816657936105	43.67460444112171	-5.473548969340742
17Networks_LH_DefaultC_Rsp_1	4.772243984331283	-36.05261072207911	-17.335206923033844
17Networks_LH_DefaultC_PHC_1	19.861710323574727	-7.117104932596948	-34.2846850693134
17Networks_LH_TempPar_1	49.54181558255897	-31.581494305881964	-21.424956606489328
AMY-lh	17.3681592039801	19.884333099002276	-26.597027607818145
pTHA-lh	11.348509266720384	-7.734490159920016	-16.024181694104534
aTHA-lh	8.142371134020621	-1.01000024080277	-5.9552605716469404
NAc-lh	11.490972222222226	31.787507578730576	-9.08125433027744
GP-lh	17.634674922600624	13.887774208935413	-12.597529226781408
PUT-lh	24.190512919398387	16.700929550650127	-10.610494839653198
CAU-lh	13.35102365334923	21.96343199061344	3.170544147491459
HIP-head-lh	17.3895373973195	9.87203002336785	-30.314757213518313
HIP-body-lh	21.19086021505376	-4.0627249829658085	-28.424744736763735
HIP-tail-lh	16.879757785467135	-17.63754745771315	-21.23184403416194
17Networks_RH_VisCent_ExStr_1	-30.140043238049486	-37.00865643344589	-37.593340049361544
17Networks_RH_VisCent_ExStr_2	-24.141646333632977	-63.359588754487866	-42.483133137968586
17Networks_RH_VisCent_ExStr_3	-36.574752174792636	-56.98969596652108	-15.944777985417893
